Destination Port,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Bwd Packet Length Max,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Average Packet Size,Avg Bwd Segment Size,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_backward,Idle Mean,Label
444,141,291,93,267,267,36.0,77.39978858,5990.727273,39.27272727,48.5,141,291,229,0.0,Infiltration
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,18700000.0,DoS Slowhttptest
80,369,3525,369,3525,3525,389.4,1107.823813,1227273.6,432.6666667,881.25,369,3525,235,5648047.0,DoS GoldenEye
51723,6,6,6,6,6,6.0,0.0,0.0,9.0,6.0,6,6,256,0.0,Bot
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,18700000.0,DoS Slowhttptest
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0.0,DoS slowloris
53,70,142,35,71,71,49.4,19.71801207,388.8,61.75,71.0,70,142,-1,0.0,BENIGN
80,419,11632,419,11632,11632,927.0,3218.536262,10400000.0,1004.25,2908.0,419,11632,235,5503314.0,DoS GoldenEye
443,2111,4695,1429,1460,1460,170.15,415.0826022,172293.5667,174.5128205,247.1052632,2111,4695,6348,9975067.273,BENIGN
21,14,0,14,0,14,7.0,8.082903769,65.33333333,9.333333333,0.0,14,0,0,0.0,FTP-Patator
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
21,104,188,25,34,34,11.68,12.59536952,158.6433333,12.16666667,12.53333333,104,188,227,0.0,FTP-Patator
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
80,26,11601,20,10135,10135,1453.375,3544.652026,12600000.0,1661.0,2900.25,26,11601,229,0.0,DDoS
80,26,11607,20,11595,11595,1454.125,4097.537534,16800000.0,1661.857143,2901.75,26,11607,229,0.0,DDoS
80,16,0,8,0,8,4.8,4.38178046,19.2,6.0,0.0,16,0,235,101000000.0,DoS slowloris
80,645,11632,645,5792,5792,876.9285714,1851.893105,3429508.071,944.3846154,1938.666667,645,11632,237,5571666.0,DoS GoldenEye
443,12,0,6,0,6,6.0,0.0,0.0,9.0,0.0,12,0,-1,0.0,BENIGN
22,2008,2745,640,976,976,88.01851852,189.5902723,35944.47135,89.67924528,85.78125,2008,2745,247,0.0,SSH-Patator
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
21,105,188,27,34,34,11.72,12.68043112,160.7933333,12.20833333,12.53333333,105,188,227,0.0,FTP-Patator
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0.0,DoS GoldenEye
21,14,0,14,0,14,7.0,8.082903769,65.33333333,9.333333333,0.0,14,0,0,0.0,FTP-Patator
8080,6,6,6,6,6,6.0,0.0,0.0,9.0,6.0,6,6,237,0.0,Bot
22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,247,0.0,SSH-Patator
8080,208,134,196,128,196,42.75,75.86407017,5755.357143,48.85714286,44.66666667,208,134,237,0.0,Bot
80,24,0,6,0,6,6.0,0.0,0.0,7.5,0.0,24,0,-1,5842878.0,DDoS
8080,0,18,0,6,6,2.571428571,3.207134903,10.28571429,3.0,6.0,0,18,0,0.0,Bot
51657,6,6,6,6,6,6.0,0.0,0.0,9.0,6.0,6,6,256,0.0,Bot
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,18700000.0,DoS Slowhttptest
444,12264,7879536,4344,13032,13032,1603.27797,2381.909586,5673493.274,1603.603574,3699.312676,12264,7879536,235,0.0,Heartbleed
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,21200000.0,DoS GoldenEye
21,109,188,24,34,34,11.88,12.71586935,161.6933333,12.375,12.53333333,109,188,227,0.0,FTP-Patator
21,110,188,24,34,34,11.92,12.74728729,162.4933333,12.41666667,12.53333333,110,188,227,0.0,FTP-Patator
80,351,11595,345,4344,4344,1086.545455,1579.152011,2493721.073,1195.2,1932.5,351,11595,235,85000000.0,DoS Hulk
80,700,11595,344,4344,4344,878.6428571,1447.360973,2094853.786,946.2307692,1656.428571,700,11595,235,86400000.0,DoS Hulk
80,56,11607,20,5840,5840,833.5,2103.115592,4423095.192,897.6153846,2321.4,56,11607,229,74300000.0,DDoS
80,26,11601,20,5840,5840,1162.7,1911.59573,3654198.233,1291.888889,1933.5,26,11601,229,0.0,DDoS
80,504,3525,504,2077,2077,366.2727273,720.3427088,518893.6182,402.9,705.0,504,3525,235,9965247.0,DoS GoldenEye
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
22,2008,2745,640,976,976,88.01851852,189.5902723,35944.47135,89.67924528,85.78125,2008,2745,247,0.0,SSH-Patator
80,2390,6,239,6,239,133.1111111,120.9316233,14624.45752,140.9411765,2.0,2390,6,0,19200000.0,DoS slowloris
3071,0,6,0,6,6,2.0,3.464101615,12.0,3.0,6.0,0,6,0,0.0,PortScan
80,24,0,6,0,6,6.0,0.0,0.0,7.5,0.0,24,0,-1,11900000.0,DDoS
21,108,188,23,34,34,11.84,12.68424219,160.89,12.33333333,12.53333333,108,188,227,0.0,FTP-Patator
80,12,0,6,0,6,2.4,3.286335345,10.8,3.0,0.0,12,0,29200,0.0,BENIGN
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � XSS
21,14,0,14,0,14,7.0,8.082903769,65.33333333,9.333333333,0.0,14,0,0,0.0,FTP-Patator
8080,0,18,0,6,6,2.571428571,3.207134903,10.28571429,3.0,6.0,0,18,0,0.0,Bot
21,111,188,24,34,34,11.96,12.78175783,163.3733333,12.45833333,12.53333333,111,188,227,0.0,FTP-Patator
8080,1053,134,1041,128,1041,148.375,363.328241,132007.4107,169.5714286,44.66666667,1053,134,245,0.0,Bot
80,367,11595,367,8688,8688,854.4285714,2382.343633,5675561.187,920.1538462,2319.0,367,11595,235,99400000.0,DoS Hulk
21,110,188,25,34,34,11.92,12.77667145,163.2433333,12.41666667,12.53333333,110,188,227,0.0,FTP-Patator
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
80,368,0,351,0,351,46.0,123.382101,15223.14286,52.57142857,0.0,368,0,235,110000000.0,DoS Slowhttptest
444,13418,210,1460,6,1460,192.4507042,396.4548898,157176.4797,195.2,6.0,13418,210,1428,18500000.0,Infiltration
80,405,11595,405,5792,5792,1000.0,2241.320106,5023515.818,1090.909091,2319.0,405,11595,235,84500000.0,DoS Hulk
8080,207,134,195,128,195,42.625,75.57576615,5711.696429,48.71428571,44.66666667,207,134,237,0.0,Bot
80,429,2267,429,2267,2267,337.0,794.1552565,630682.5714,385.1428571,566.75,429,2267,237,0.0,BENIGN
16000,0,6,0,6,6,2.0,3.464101615,12.0,3.0,6.0,0,6,0,0.0,PortScan
80,16,0,8,0,8,4.8,4.38178046,19.2,6.0,0.0,16,0,235,100000000.0,DoS slowloris
